TIME	TEAM	PLAY	SCORE
1:40		Shaun Livingston personal foul (Iman Shumpert draws the foul)	58 - 61	
1:40		Klay Thompson enters the game for Shaun Livingston	58 - 61	
1:40		Richard Jefferson enters the game for Kevin Love	58 - 61	
1:40		Iman Shumpert makes free throw 1 of 2	59 - 61	
1:40		Iman Shumpert makes free throw 2 of 2	60 - 61	
1:27		Andre Iguodala makes 26-foot three pointer (Stephen Curry assists)	60 - 64	
1:05		LeBron James makes driving layup	62 - 64	
0:56		JR Smith shooting foul (Klay Thompson draws the foul)	62 - 64	
0:56		Klay Thompson makes free throw 1 of 2	62 - 65	
0:56		James Michael McAdoo enters the game for Draymond Green	62 - 65	
0:56		Kyle Korver enters the game for JR Smith	62 - 65	
0:56		Klay Thompson misses free throw 2 of 2	62 - 65	
0:54		James Michael McAdoo offensive rebound	62 - 65	
0:52		Klay Thompson misses 20-foot jumper	62 - 65	
0:50		LeBron James defensive rebound	62 - 65	
0:31		Iman Shumpert misses 21-foot two point jumper	62 - 65	
0:31		Kevin Durant defensive rebound	62 - 65	
0:07		Kevin Durant misses three point jumper	62 - 65	
0:07		Kevin Durant offensive rebound	62 - 65	
0:07		Kevin Durant makes 16-foot jumper	62 - 67	
0:01		Kyrie Irving makes Driving Floating Jump Shot (LeBron James assists)	64 - 67	
0:00		End of the 2nd Quarter	64 - 67	
3rd Quarter
11:44		Kevin Love makes layup (LeBron James assists)	66 - 67	
11:30		Kevin Durant makes 14-foot two point shot (Draymond Green assists)	66 - 69	
11:07		Kevin Love misses 15-foot jumper	66 - 69	
11:03		Stephen Curry defensive rebound	66 - 69	
11:00		Kevin Durant misses jumper	66 - 69	
10:57		Zaza Pachulia offensive rebound	66 - 69	
10:57		Zaza Pachulia steps out of bounds turnover	66 - 69	
10:41		Tristan Thompson misses jumper	66 - 69	
10:40		Tristan Thompson offensive rebound	66 - 69	
10:38		Tristan Thompson makes layup	68 - 69	
10:26		Kevin Durant makes 26-foot three pointer (Stephen Curry assists)	68 - 72	
10:26		JR Smith shooting foul (Kevin Durant draws the foul)	68 - 73	
10:26		Kevin Durant makes free throw 1 of 1	68 - 73	
10:26		Kevin Durant shooting foul (LeBron James draws the foul)	68 - 73	
10:26		LeBron James makes free throw 1 of 2	69 - 73	
10:26		LeBron James makes free throw 2 of 2	70 - 73	
10:15		Stephen Curry makes 25-foot three point jumper (Draymond Green assists)	70 - 76	
9:56		JR Smith misses 28-foot three point jumper	70 - 76	
9:56		Kevin Durant defensive rebound	70 - 76	
9:48		JR Smith shooting foul (Stephen Curry draws the foul)	70 - 76	
9:48		Stephen Curry makes free throw 1 of 2	70 - 77	
9:48		Iman Shumpert enters the game for JR Smith	70 - 77	
9:48		Stephen Curry makes free throw 2 of 2	70 - 78	
9:25		Kevin Love makes 23-foot three pointer (Kyrie Irving assists)	73 - 78	
9:14		Draymond Green makes 23-foot three pointer (Stephen Curry assists)	73 - 81	
9:07		Kevin Love bad pass (Draymond Green steals)	73 - 81	
8:53		Stephen Curry makes driving layup	73 - 83	
8:53		Cavaliers Full timeout	73 - 83	
8:41		Kevin Love misses 27-foot three point jumper	73 - 83	
8:40		Klay Thompson defensive rebound	73 - 83	
8:34		Kevin Durant misses 27-foot three point running jumper	73 - 83	
8:33		Stephen Curry offensive rebound	73 - 83	
8:25		Stephen Curry misses 28-foot three point jumper	73 - 83	
8:22		Tristan Thompson defensive rebound	73 - 83	
8:06		Kevin Love misses 26-foot three point jumper	73 - 83	
8:03		Stephen Curry defensive rebound	73 - 83	
7:58		Draymond Green bad pass (Iman Shumpert steals)	73 - 83	
7:58		Draymond Green personal foul (LeBron James draws the foul)	73 - 83	
7:58		Andre Iguodala enters the game for Draymond Green	73 - 83	
7:58		Channing Frye enters the game for Tristan Thompson	73 - 83	
7:58		Shaun Livingston enters the game for Zaza Pachulia	73 - 83	
7:41		Kyrie Irving misses 4-foot jumper	73 - 83	
7:41		Iman Shumpert offensive rebound	73 - 83	
7:37		Kevin Durant blocks Iman Shumpert 's 3-foot layup	73 - 83	
7:35		Kevin Love offensive rebound	73 - 83	
7:35		Kevin Love makes tip shot	75 - 83	
7:13		Andre Iguodala misses 19-foot jumper	75 - 83	
7:13		Andre Iguodala offensive rebound	75 - 83	
